0,0.5
1,-0.318246
2,0
3,0.105911
4,0
5,-0.0633421
6,0
7,0.0450245
8,0
9,-0.0347906
10,0
11,0.0282307
12,0
13,-0.0236488
14,0
15,0.0202531
16,0
17,-0.0176247
18,0
19,0.0155208
20,0
21,-0.013791
22,0
23,0.0123373
24,0
25,-0.0110929
26,0
27,0.0100108
28,0
29,-0.00905686
30,0
31,0.00820572
32,0
33,-0.00743812
34,0
35,0.00673911
36,0
37,-0.00609693
38,0
39,0.00550218
40,0
41,-0.00494721
42,0
43,0.00442573
44,0
45,-0.00393248
46,0
47,0.00346304
48,0
49,-0.00301361
50,0
51,0.0025809
52,0
53,-0.00216201
54,0
55,0.00175436
56,0
57,-0.0013556
58,0
59,0.000963578
60,0
61,-0.000576284
62,0
63,0.000191793
64,0
65,0.000191793
66,0
67,-0.000576284
68,0
69,0.000963578
70,0
71,-0.0013556
72,0
73,0.00175436
74,0
75,-0.00216201
76,0
77,0.0025809
78,0
79,-0.00301361
80,0
81,0.00346304
82,0
83,-0.00393248
84,0
85,0.00442573
86,0
87,-0.00494721
88,0
89,0.00550218
90,0
91,-0.00609693
92,0
93,0.00673911
94,0
95,-0.00743812
96,0
97,0.00820572
98,0
99,-0.00905686
100,0
101,0.0100108
102,0
103,-0.0110929
104,0
105,0.0123373
106,0
107,-0.013791
108,0
109,0.0155208
110,0
111,-0.0176247
112,0
113,0.0202531
114,0
115,-0.0236488
116,0
117,0.0282307
118,0
119,-0.0347906
120,0
121,0.0450245
122,0
123,-0.0633421
124,0
125,0.105911
126,0
127,-0.318246
